student_id,concept_id,n_correct,n_total,n1,n2,rate_global,rate1,rate2,delta
205,arithmetic,91,116,79,37,0.7844827586206896,0.7468354430379747,0.8648648648648649,0.11802942182689025
210,arithmetic,45,60,42,18,0.75,0.7142857142857143,0.8333333333333334,0.11904761904761907
211,arithmetic,302,440,184,256,0.6863636363636364,0.8043478260869565,0.6015625,-0.20278532608695654
226,algebra,32,41,17,24,0.7804878048780488,0.6470588235294118,0.875,0.2279411764705882
233,probability_statistics,19,24,16,8,0.7916666666666666,0.875,0.625,-0.25
237,algebra,27,40,8,32,0.675,1.0,0.59375,-0.40625
238,arithmetic,16,31,15,16,0.5161290322580645,0.6666666666666666,0.375,-0.29166666666666663
260,algebra,65,126,25,101,0.5158730158730159,0.76,0.45544554455445546,-0.30455445544554455
260,arithmetic,87,129,113,16,0.6744186046511628,0.6371681415929203,0.9375,0.30033185840707965
260,geometry,32,67,19,48,0.47761194029850745,0.7368421052631579,0.375,-0.36184210526315785
261,arithmetic,133,188,4,184,0.7074468085106383,0.25,0.717391304347826,0.46739130434782605
266,arithmetic,28,57,48,9,0.49122807017543857,0.5625,0.1111111111111111,-0.4513888888888889
266,geometry,31,42,16,26,0.7380952380952381,0.375,0.9615384615384616,0.5865384615384616
267,algebra,28,39,32,7,0.717948717948718,0.78125,0.42857142857142855,-0.35267857142857145
272,algebra,108,158,125,33,0.6835443037974683,0.664,0.7575757575757576,0.09357575757575753
272,probability_statistics,32,54,8,46,0.5925925925925926,1.0,0.5217391304347826,-0.4782608695652174
273,arithmetic,133,191,168,23,0.6963350785340314,0.7261904761904762,0.4782608695652174,-0.24792960662525876
280,arithmetic,25,32,14,18,0.78125,0.9285714285714286,0.6666666666666666,-0.261904761904762
283,geometry,113,152,81,71,0.743421052631579,0.7654320987654321,0.7183098591549296,-0.04712223961050244
292,arithmetic,30,47,32,15,0.6382978723404256,0.65625,0.6,-0.05625000000000002
301,geometry,41,65,57,8,0.6307692307692307,0.5789473684210527,1.0,0.42105263157894735
309,algebra,63,83,4,79,0.7590361445783133,0.75,0.759493670886076,0.009493670886076
314,algebra,534,676,562,114,0.7899408284023669,0.7740213523131673,0.868421052631579,0.09439970031841172
326,arithmetic,30,60,39,21,0.5,0.5641025641025641,0.38095238095238093,-0.18315018315018317
335,algebra,29,40,19,21,0.725,0.6842105263157895,0.7619047619047619,0.07769423558897237
338,probability_statistics,24,32,24,8,0.75,0.9583333333333334,0.125,-0.8333333333333334
345,arithmetic,108,146,49,97,0.7397260273972602,0.6938775510204082,0.7628865979381443,0.06900904691773613
345,geometry,237,301,89,212,0.7873754152823921,0.7752808988764045,0.7924528301886793,0.01717193131227479
356,algebra,161,223,64,159,0.7219730941704036,0.75,0.710691823899371,-0.03930817610062898
356,probability_statistics,86,108,104,4,0.7962962962962963,0.7884615384615384,1.0,0.21153846153846156
363,arithmetic,189,269,231,38,0.7026022304832714,0.70995670995671,0.6578947368421053,-0.0520619731146047
402,algebra,246,399,69,330,0.6165413533834586,0.42028985507246375,0.6575757575757576,0.23728590250329384
411,arithmetic,24,34,9,25,0.7058823529411765,0.5555555555555556,0.76,0.20444444444444443
412,algebra,33,51,1,50,0.6470588235294118,0.0,0.66,0.66
419,geometry,25,33,25,8,0.7575757575757576,0.84,0.5,-0.33999999999999997
424,analytic_geometry,30,47,31,16,0.6382978723404256,0.7096774193548387,0.5,-0.20967741935483875
428,arithmetic,35,49,35,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
441,arithmetic,14,30,16,14,0.4666666666666667,0.4375,0.5,0.0625
461,arithmetic,49,68,22,46,0.7205882352941176,0.6363636363636364,0.7608695652173914,0.124505928853755
463,geometry,53,80,48,32,0.6625,0.7708333333333334,0.5,-0.27083333333333337
492,algebra,640,801,671,130,0.7990012484394506,0.7988077496274217,0.8,0.0011922503725783073
506,geometry,17,25,17,8,0.68,0.7058823529411765,0.625,-0.08088235294117652
512,algebra,12,29,16,13,0.41379310344827586,0.6875,0.07692307692307693,-0.6105769230769231
520,arithmetic,20,25,9,16,0.8,0.7777777777777778,0.8125,0.03472222222222221
537,arithmetic,46,64,24,40,0.71875,0.6666666666666666,0.75,0.08333333333333337
555,geometry,18,27,16,11,0.6666666666666666,0.625,0.7272727272727273,0.10227272727272729
577,arithmetic,33,48,17,31,0.6875,0.6470588235294118,0.7096774193548387,0.06261859582542695
579,geometry,25,45,17,28,0.5555555555555556,0.47058823529411764,0.6071428571428571,0.13655462184873945
593,algebra,17,25,1,24,0.68,0.0,0.7083333333333334,0.7083333333333334
593,analytic_geometry,24,34,30,4,0.7058823529411765,0.7333333333333333,0.5,-0.23333333333333328
593,geometry,102,142,138,4,0.7183098591549296,0.7318840579710145,0.25,-0.4818840579710145
595,geometry,439,562,334,228,0.7811387900355872,0.7904191616766467,0.7675438596491229,-0.02287530202752386
596,arithmetic,48,74,29,45,0.6486486486486487,0.7586206896551724,0.5777777777777777,-0.18084291187739465
600,geometry,24,37,22,15,0.6486486486486487,0.6818181818181818,0.6,-0.08181818181818179
601,arithmetic,56,78,41,37,0.717948717948718,0.9512195121951219,0.4594594594594595,-0.4917600527356624
605,arithmetic,105,140,49,91,0.75,0.8775510204081632,0.6813186813186813,-0.1962323390894819
615,analytic_geometry,31,40,32,8,0.775,0.71875,1.0,0.28125
627,arithmetic,86,139,115,24,0.6187050359712231,0.5826086956521739,0.7916666666666666,0.20905797101449275
627,geometry,27,41,8,33,0.6585365853658537,1.0,0.5757575757575758,-0.4242424242424242
630,probability_statistics,29,37,24,13,0.7837837837837838,0.8333333333333334,0.6923076923076923,-0.14102564102564108
631,arithmetic,19,32,16,16,0.59375,0.75,0.4375,-0.3125
640,arithmetic,26,35,33,2,0.7428571428571429,0.7575757575757576,0.5,-0.25757575757575757
655,analytic_geometry,35,48,32,16,0.7291666666666666,0.625,0.9375,0.3125
660,algebra,94,128,104,24,0.734375,0.7596153846153846,0.625,-0.13461538461538458
672,arithmetic,377,488,156,332,0.7725409836065574,0.7307692307692307,0.7921686746987951,0.06139944392956442
672,geometry,101,153,72,81,0.6601307189542484,0.5833333333333334,0.7283950617283951,0.1450617283950617
674,arithmetic,47,64,42,22,0.734375,0.7142857142857143,0.7727272727272727,0.058441558441558406
698,analytic_geometry,153,198,128,70,0.7727272727272727,0.8515625,0.6285714285714286,-0.22299107142857144
699,geometry,28,38,35,3,0.7368421052631579,0.8,0.0,-0.8
702,geometry,29,44,8,36,0.6590909090909091,0.875,0.6111111111111112,-0.26388888888888884
702,probability_statistics,28,35,28,7,0.8,0.8214285714285714,0.7142857142857143,-0.1071428571428571
708,geometry,99,153,97,56,0.6470588235294118,0.5876288659793815,0.75,0.16237113402061853
723,geometry,26,57,49,8,0.45614035087719296,0.5102040816326531,0.125,-0.3852040816326531
726,geometry,19,24,16,8,0.7916666666666666,0.875,0.625,-0.25
733,arithmetic,16,20,2,18,0.8,0.5,0.8333333333333334,0.33333333333333337
742,arithmetic,28,40,16,24,0.7,0.375,0.9166666666666666,0.5416666666666666
745,arithmetic,70,99,7,92,0.7070707070707071,0.5714285714285714,0.717391304347826,0.14596273291925466
745,geometry,16,33,18,15,0.48484848484848486,0.7222222222222222,0.2,-0.5222222222222221
758,arithmetic,25,48,20,28,0.5208333333333334,0.4,0.6071428571428571,0.20714285714285707
760,arithmetic,28,39,19,20,0.717948717948718,0.631578947368421,0.8,0.16842105263157903
763,algebra,207,311,65,246,0.6655948553054662,0.6923076923076923,0.6585365853658537,-0.0337711069418386
763,arithmetic,306,386,351,35,0.7927461139896373,0.7977207977207977,0.7428571428571429,-0.054863654863654854
780,arithmetic,40,50,34,16,0.8,0.7647058823529411,0.875,0.11029411764705888
787,arithmetic,26,34,26,8,0.7647058823529411,0.7692307692307693,0.75,-0.019230769230769273
788,algebra,20,25,24,1,0.8,0.7916666666666666,1.0,0.20833333333333337
788,geometry,43,59,57,2,0.7288135593220338,0.7192982456140351,1.0,0.2807017543859649
790,algebra,24,32,6,26,0.75,0.16666666666666666,0.8846153846153846,0.717948717948718
792,arithmetic,63,82,40,42,0.7682926829268293,0.75,0.7857142857142857,0.0357142857142857
797,arithmetic,399,513,397,116,0.7777777777777778,0.7758186397984886,0.7844827586206896,0.008664118822200972
798,arithmetic,116,148,57,91,0.7837837837837838,0.8421052631578947,0.7472527472527473,-0.09485251590514743
806,algebra,258,332,190,142,0.7771084337349398,0.7473684210526316,0.8169014084507042,0.06953298739807268
812,algebra,21,48,29,19,0.4375,0.5172413793103449,0.3157894736842105,-0.20145190562613435
827,algebra,808,1080,135,945,0.7481481481481481,0.5851851851851851,0.7714285714285715,0.18624338624338632
827,arithmetic,379,531,261,270,0.7137476459510358,0.6053639846743295,0.8185185185185185,0.21315453384418903
827,probability_statistics,18,27,13,14,0.6666666666666666,0.6153846153846154,0.7142857142857143,0.09890109890109888
843,arithmetic,370,474,463,11,0.7805907172995781,0.7775377969762419,0.9090909090909091,0.13155311211466714
843,geometry,46,66,19,47,0.696969696969697,0.42105263157894735,0.8085106382978723,0.38745800671892494
843,probability_statistics,33,46,38,8,0.717391304347826,0.6578947368421053,1.0,0.3421052631578947
855,arithmetic,17,23,16,7,0.7391304347826086,0.9375,0.2857142857142857,-0.6517857142857143
887,geometry,17,24,16,8,0.7083333333333334,0.75,0.625,-0.125
908,geometry,52,78,23,55,0.6666666666666666,0.6521739130434783,0.6727272727272727,0.02055335968379446
919,algebra,446,566,170,396,0.7879858657243817,0.7529411764705882,0.803030303030303,0.05008912655971476
935,algebra,93,149,94,55,0.6241610738255033,0.5638297872340425,0.7272727272727273,0.16344294003868476
945,algebra,1914,2909,1523,1386,0.6579580611894121,0.5764937623112278,0.7474747474747475,0.17098098516351967
958,arithmetic,112,156,100,56,0.717948717948718,0.73,0.6964285714285714,-0.033571428571428585
968,geometry,24,36,27,9,0.6666666666666666,0.7037037037037037,0.5555555555555556,-0.14814814814814814
979,geometry,24,41,39,2,0.5853658536585366,0.5641025641025641,1.0,0.4358974358974359
999,algebra,95,137,58,79,0.6934306569343066,0.7068965517241379,0.6835443037974683,-0.023352247926669567
1009,algebra,135,185,57,128,0.7297297297297297,0.7719298245614035,0.7109375,-0.060992324561403466
1010,algebra,19,26,25,1,0.7307692307692307,0.76,0.0,-0.76
1010,arithmetic,607,763,528,235,0.7955439056356488,0.8200757575757576,0.7404255319148936,-0.079650225660864
1011,algebra,33,51,24,27,0.6470588235294118,0.7916666666666666,0.5185185185185185,-0.27314814814814814
1012,algebra,18,32,8,24,0.5625,0.25,0.6666666666666666,0.41666666666666663
1012,arithmetic,106,150,50,100,0.7066666666666667,0.54,0.79,0.25
1012,geometry,199,252,16,236,0.7896825396825397,0.75,0.7923728813559322,0.0423728813559322
1012,probability_statistics,19,32,8,24,0.59375,0.25,0.7083333333333334,0.45833333333333337
1014,arithmetic,65,82,1,81,0.7926829268292683,1.0,0.7901234567901234,-0.2098765432098766
1020,arithmetic,465,632,309,323,0.7357594936708861,0.7702265372168284,0.7027863777089783,-0.0674401595078501
1037,algebra,188,265,206,59,0.7094339622641509,0.7330097087378641,0.6271186440677966,-0.10589106467006748
1038,arithmetic,150,194,1,193,0.7731958762886598,1.0,0.772020725388601,-0.227979274611399
1038,geometry,16,21,5,16,0.7619047619047619,0.8,0.75,-0.050000000000000044
1042,geometry,67,91,24,67,0.7362637362637363,0.875,0.6865671641791045,-0.18843283582089554
1043,analytic_geometry,33,49,8,41,0.673469387755102,0.875,0.6341463414634146,-0.24085365853658536
1046,arithmetic,20,26,25,1,0.7692307692307693,0.8,0.0,-0.8
1050,algebra,33,60,38,22,0.55,0.6052631578947368,0.45454545454545453,-0.1507177033492823
1055,geometry,47,60,33,27,0.7833333333333333,0.7575757575757576,0.8148148148148148,0.0572390572390572
1066,arithmetic,188,246,205,41,0.7642276422764228,0.7560975609756098,0.8048780487804879,0.04878048780487809
1072,arithmetic,34,44,10,34,0.7727272727272727,0.9,0.7352941176470589,-0.16470588235294115
1074,algebra,890,1301,735,566,0.6840891621829363,0.726530612244898,0.6289752650176679,-0.09755534722723014
1077,arithmetic,160,216,108,108,0.7407407407407407,0.7870370370370371,0.6944444444444444,-0.09259259259259267
1077,geometry,18,33,1,32,0.5454545454545454,0.0,0.5625,0.5625
1084,arithmetic,12,28,19,9,0.42857142857142855,0.21052631578947367,0.8888888888888888,0.6783625730994152
1084,geometry,24,49,37,12,0.4897959183673469,0.3783783783783784,0.8333333333333334,0.45495495495495497
1092,analytic_geometry,25,32,24,8,0.78125,0.7083333333333334,1.0,0.29166666666666663
1092,geometry,19,28,11,17,0.6785714285714286,0.45454545454545453,0.8235294117647058,0.3689839572192513
1107,geometry,13,25,1,24,0.52,0.0,0.5416666666666666,0.5416666666666666
1109,geometry,13,23,1,22,0.5652173913043478,0.0,0.5909090909090909,0.5909090909090909
1116,algebra,50,64,35,29,0.78125,0.8285714285714286,0.7241379310344828,-0.10443349753694586
1118,algebra,15,23,15,8,0.6521739130434783,0.5333333333333333,0.875,0.3416666666666667
1132,algebra,15,24,14,10,0.625,0.5714285714285714,0.7,0.12857142857142856
1156,algebra,116,146,128,18,0.7945205479452054,0.78125,0.8888888888888888,0.10763888888888884
1156,analytic_geometry,33,52,49,3,0.6346153846153846,0.673469387755102,0.0,-0.673469387755102
1159,arithmetic,15,21,19,2,0.7142857142857143,0.7368421052631579,0.5,-0.23684210526315785
1160,analytic_geometry,19,24,11,13,0.7916666666666666,0.7272727272727273,0.8461538461538461,0.11888111888111885
1168,algebra,231,312,280,32,0.7403846153846154,0.725,0.875,0.15000000000000002
1180,algebra,22,29,21,8,0.7586206896551724,0.7619047619047619,0.75,-0.011904761904761862
1187,analytic_geometry,18,24,8,16,0.75,0.375,0.9375,0.5625
1190,geometry,75,94,76,18,0.7978723404255319,0.7894736842105263,0.8333333333333334,0.04385964912280704
1197,arithmetic,508,676,316,360,0.7514792899408284,0.8829113924050633,0.6361111111111111,-0.24680028129395226
1197,geometry,145,221,157,64,0.6561085972850679,0.802547770700637,0.296875,-0.505672770700637
1198,geometry,32,40,14,26,0.8,0.8571428571428571,0.7692307692307693,-0.08791208791208782
1204,arithmetic,48,60,47,13,0.8,0.8085106382978723,0.7692307692307693,-0.03927986906710301
1206,arithmetic,56,75,40,35,0.7466666666666667,0.85,0.6285714285714286,-0.22142857142857142
1229,arithmetic,55,69,29,40,0.7971014492753623,0.6896551724137931,0.875,0.18534482758620685
1241,algebra,24,32,26,6,0.75,0.7692307692307693,0.6666666666666666,-0.10256410256410264
1241,arithmetic,121,156,66,90,0.7756410256410257,0.7878787878787878,0.7666666666666667,-0.021212121212121127
1249,arithmetic,12,23,2,21,0.5217391304347826,0.0,0.5714285714285714,0.5714285714285714
1262,arithmetic,25,49,23,26,0.5102040816326531,0.7391304347826086,0.3076923076923077,-0.43143812709030094
1266,arithmetic,23,36,12,24,0.6388888888888888,0.5,0.7083333333333334,0.20833333333333337
1267,algebra,607,859,720,139,0.7066356228172294,0.7055555555555556,0.7122302158273381,0.00667466027178254
1268,geometry,40,50,48,2,0.8,0.8125,0.5,-0.3125
1274,arithmetic,147,275,270,5,0.5345454545454545,0.5296296296296297,0.8,0.27037037037037037
1287,arithmetic,15,22,7,15,0.6818181818181818,0.7142857142857143,0.6666666666666666,-0.04761904761904767
1295,algebra,46,101,100,1,0.45544554455445546,0.45,1.0,0.55
1295,analytic_geometry,183,260,106,154,0.7038461538461539,0.8301886792452831,0.6168831168831169,-0.21330556236216613
1295,geometry,422,582,581,1,0.7250859106529209,0.7263339070567987,0.0,-0.7263339070567987
1295,probability_statistics,426,552,543,9,0.7717391304347826,0.7753222836095764,0.5555555555555556,-0.21976672805402087
1301,algebra,94,123,44,79,0.7642276422764228,0.7045454545454546,0.7974683544303798,0.09292289988492519
1321,arithmetic,13,20,11,9,0.65,0.5454545454545454,0.7777777777777778,0.23232323232323238
1334,algebra,97,140,130,10,0.6928571428571428,0.7230769230769231,0.3,-0.4230769230769231
1334,analytic_geometry,94,132,8,124,0.7121212121212122,0.625,0.717741935483871,0.092741935483871
1334,probability_statistics,22,29,21,8,0.7586206896551724,0.7619047619047619,0.75,-0.011904761904761862
1368,arithmetic,1147,1460,596,864,0.7856164383561643,0.8104026845637584,0.7685185185185185,-0.04188416604523992
1368,geometry,621,782,268,514,0.7941176470588235,0.7611940298507462,0.811284046692607,0.05009001684186076
1370,analytic_geometry,18,23,20,3,0.782608695652174,0.8,0.6666666666666666,-0.13333333333333341
1372,arithmetic,19,25,14,11,0.76,0.7857142857142857,0.7272727272727273,-0.058441558441558406
1378,algebra,430,556,422,134,0.7733812949640287,0.7606635071090048,0.8134328358208955,0.05276932871189077
1385,algebra,67,99,57,42,0.6767676767676768,0.7017543859649122,0.6428571428571429,-0.05889724310776934
1385,arithmetic,41,63,34,29,0.6507936507936508,0.7647058823529411,0.5172413793103449,-0.24746450304259626
1388,analytic_geometry,48,64,32,32,0.75,0.65625,0.84375,0.1875
1388,arithmetic,101,138,69,69,0.7318840579710145,0.6956521739130435,0.7681159420289855,0.07246376811594202
1396,algebra,118,156,124,32,0.7564102564102564,0.7419354838709677,0.8125,0.07056451612903225
1397,arithmetic,43,67,60,7,0.6417910447761194,0.65,0.5714285714285714,-0.07857142857142863
1400,algebra,16,28,14,14,0.5714285714285714,0.6428571428571429,0.5,-0.1428571428571429
1404,arithmetic,32,47,23,24,0.6808510638297872,0.6086956521739131,0.75,0.14130434782608692
1405,arithmetic,81,105,82,23,0.7714285714285715,0.8170731707317073,0.6086956521739131,-0.20837751855779418
1407,algebra,44,89,45,44,0.4943820224719101,0.5555555555555556,0.4318181818181818,-0.12373737373737376
1407,arithmetic,498,683,620,63,0.7291361639824304,0.7564516129032258,0.4603174603174603,-0.29613415258576553
1407,geometry,27,41,24,17,0.6585365853658537,0.6666666666666666,0.6470588235294118,-0.019607843137254832
1420,arithmetic,517,656,156,500,0.788109756097561,0.7564102564102564,0.798,0.041589743589743655
1430,geometry,44,58,30,28,0.7586206896551724,0.7,0.8214285714285714,0.12142857142857144
1454,geometry,47,67,7,60,0.7014925373134329,0.2857142857142857,0.75,0.4642857142857143
1456,analytic_geometry,18,25,8,17,0.72,0.25,0.9411764705882353,0.6911764705882353
1456,arithmetic,420,571,480,91,0.7355516637478109,0.7270833333333333,0.7802197802197802,0.05313644688644692
1456,geometry,80,112,42,70,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0
1458,arithmetic,32,40,25,15,0.8,0.72,0.9333333333333333,0.21333333333333337
1479,arithmetic,82,108,40,68,0.7592592592592593,0.825,0.7205882352941176,-0.10441176470588232
1481,arithmetic,23,39,35,4,0.5897435897435898,0.6571428571428571,0.0,-0.6571428571428571
1499,arithmetic,33,52,29,23,0.6346153846153846,0.6896551724137931,0.5652173913043478,-0.12443778110944537
1513,algebra,136,236,201,35,0.576271186440678,0.5920398009950248,0.4857142857142857,-0.10632551528073914
1527,algebra,158,234,20,214,0.6752136752136753,0.75,0.6682242990654206,-0.08177570093457942
1530,arithmetic,54,72,33,39,0.75,0.5151515151515151,0.9487179487179487,0.43356643356643354
1536,arithmetic,116,149,25,124,0.7785234899328859,0.84,0.7661290322580645,-0.07387096774193547
1537,algebra,92,116,97,19,0.7931034482758621,0.8041237113402062,0.7368421052631579,-0.06728160607704836
1541,algebra,28,40,8,32,0.7,0.875,0.65625,-0.21875
1552,arithmetic,228,289,154,135,0.7889273356401384,0.8116883116883117,0.762962962962963,-0.04872534872534873
1552,geometry,51,71,24,47,0.7183098591549296,0.7083333333333334,0.723404255319149,0.01507092198581561
1565,algebra,82,116,77,39,0.7068965517241379,0.6883116883116883,0.7435897435897436,0.055278055278055294
1572,arithmetic,42,55,48,7,0.7636363636363637,0.8125,0.42857142857142855,-0.38392857142857145
1578,arithmetic,55,118,66,52,0.4661016949152542,0.45454545454545453,0.4807692307692308,0.02622377622377625
1585,arithmetic,11,24,11,13,0.4583333333333333,0.45454545454545453,0.46153846153846156,0.006993006993007034
1590,analytic_geometry,41,52,43,9,0.7884615384615384,0.7906976744186046,0.7777777777777778,-0.012919896640826822
1590,geometry,66,92,7,85,0.717391304347826,0.5714285714285714,0.7294117647058823,0.15798319327731092
1590,probability_statistics,17,27,11,16,0.6296296296296297,0.18181818181818182,0.9375,0.7556818181818181
1598,arithmetic,66,136,23,113,0.4852941176470588,0.6086956521739131,0.46017699115044247,-0.1485186610234706
1600,algebra,24,32,16,16,0.75,0.75,0.75,0.0
1600,geometry,14,32,8,24,0.4375,0.625,0.375,-0.25
1613,algebra,277,393,321,72,0.7048346055979644,0.7133956386292835,0.6666666666666666,-0.04672897196261683
1614,geometry,25,32,16,16,0.78125,0.875,0.6875,-0.1875
1617,algebra,26,33,25,8,0.7878787878787878,0.76,0.875,0.11499999999999999
1618,algebra,18,24,8,16,0.75,0.625,0.8125,0.1875
1622,geometry,25,32,16,16,0.78125,0.625,0.9375,0.3125
1635,algebra,38,48,27,21,0.7916666666666666,0.8888888888888888,0.6666666666666666,-0.2222222222222222
1639,arithmetic,52,98,65,33,0.5306122448979592,0.6307692307692307,0.3333333333333333,-0.29743589743589743
1639,geometry,40,63,5,58,0.6349206349206349,0.4,0.6551724137931034,0.2551724137931034
1640,arithmetic,27,37,24,13,0.7297297297297297,0.75,0.6923076923076923,-0.05769230769230771
1645,analytic_geometry,87,115,58,57,0.7565217391304347,0.9655172413793104,0.543859649122807,-0.42165759225650334
1645,probability_statistics,47,60,8,52,0.7833333333333333,1.0,0.75,-0.25
1651,geometry,17,26,8,18,0.6538461538461539,0.875,0.5555555555555556,-0.3194444444444444
1652,algebra,425,647,258,389,0.6568778979907264,0.7093023255813954,0.622107969151671,-0.0871943564297244
1652,geometry,81,105,10,95,0.7714285714285715,0.7,0.7789473684210526,0.07894736842105265
1723,geometry,59,76,51,25,0.7763157894736842,0.8627450980392157,0.6,-0.26274509803921575
1724,arithmetic,24,32,23,9,0.75,0.7391304347826086,0.7777777777777778,0.03864734299516914
1785,arithmetic,17,24,8,16,0.7083333333333334,0.5,0.8125,0.3125
1793,geometry,18,45,18,27,0.4,0.4444444444444444,0.37037037037037035,-0.07407407407407407
1796,arithmetic,38,53,51,2,0.7169811320754716,0.7450980392156863,0.0,-0.7450980392156863
1796,geometry,28,51,36,15,0.5490196078431373,0.5833333333333334,0.4666666666666667,-0.1166666666666667
1814,algebra,45,59,8,51,0.7627118644067796,0.875,0.7450980392156863,-0.1299019607843137
1820,analytic_geometry,157,303,67,236,0.5181518151815182,0.6417910447761194,0.4830508474576271,-0.15874019731849226
1820,arithmetic,570,865,512,353,0.6589595375722543,0.677734375,0.6317280453257791,-0.046006329674220914
1820,geometry,104,242,143,99,0.4297520661157025,0.3706293706293706,0.5151515151515151,0.1445221445221445
1820,probability_statistics,239,432,137,295,0.5532407407407407,0.49635036496350365,0.5796610169491525,0.08331065198564885
1822,arithmetic,90,120,57,63,0.75,0.7543859649122807,0.746031746031746,-0.00835421888053467
1830,algebra,535,806,239,567,0.6637717121588089,0.6527196652719666,0.6684303350970018,0.015710669825035217
1830,arithmetic,659,1109,547,562,0.5942290351668169,0.5228519195612431,0.6637010676156584,0.14084914805441529
1846,arithmetic,230,356,135,221,0.6460674157303371,0.5481481481481482,0.7058823529411765,0.15773420479302835
1869,algebra,230,290,52,238,0.7931034482758621,0.5192307692307693,0.8529411764705882,0.33371040723981893
1871,arithmetic,42,56,52,4,0.75,0.7692307692307693,0.5,-0.2692307692307693
1873,algebra,64,132,108,24,0.48484848484848486,0.48148148148148145,0.5,0.018518518518518545
1873,arithmetic,246,320,246,74,0.76875,0.7642276422764228,0.7837837837837838,0.019556141507360958
1877,arithmetic,19,24,15,9,0.7916666666666666,0.7333333333333333,0.8888888888888888,0.15555555555555556
1892,arithmetic,33,42,10,32,0.7857142857142857,0.9,0.75,-0.15000000000000002
1894,arithmetic,14,21,16,5,0.6666666666666666,0.6875,0.6,-0.08750000000000002
1898,arithmetic,254,322,159,163,0.7888198757763976,0.7987421383647799,0.7791411042944786,-0.019601034070301337
1923,algebra,137,180,3,177,0.7611111111111111,0.3333333333333333,0.768361581920904,0.43502824858757067
1935,geometry,61,87,32,55,0.7011494252873564,0.78125,0.6545454545454545,-0.12670454545454546
1957,algebra,59,74,30,44,0.7972972972972973,0.8333333333333334,0.7727272727272727,-0.06060606060606066
1964,arithmetic,49,65,41,24,0.7538461538461538,0.7317073170731707,0.7916666666666666,0.059959349593495914
1965,algebra,24,45,10,35,0.5333333333333333,0.3,0.6,0.3
1965,arithmetic,205,278,270,8,0.737410071942446,0.7333333333333333,0.875,0.14166666666666672
